<KeyValuePair: key=pr, value=project>
<KeyValuePair: key=gu, value=gutenberg>
<KeyValuePair: key=gut, value=gutenberg>
<KeyValuePair: key=gutenbe, value=gutenberg>
<KeyValuePair: key=ebo, value=ebook>
<KeyValuePair: key=ebook, value=ebook>
<KeyValuePair: key=dec, value=deck>
<KeyValuePair: key=decl, value=declared>
<KeyValuePair: key=declara, value=declaration>
<KeyValuePair: key=declarat, value=declaration>
<KeyValuePair: key=declaration, value=declaration>
<KeyValuePair: key=inde, value=indeed>
<KeyValuePair: key=indep, value=independent>
<KeyValuePair: key=independen, value=independent>
<KeyValuePair: key=law, value=laws>
<KeyValuePair: key=chan, value=change>
<KeyValuePair: key=changin, value=changing>
<KeyValuePair: key=ove, value=over>
<KeyValuePair: key=wor, value=work>
<KeyValuePair: key=worl, value=world>
<KeyValuePair: key=world, value=world>
<KeyValuePair: key=b, value=but>
<KeyValuePair: key=su, value=such>
<KeyValuePair: key=f, value=for>
<KeyValuePair: key=yo, value=you>
<KeyValuePair: key=country, value=country>
<KeyValuePair: key=befor, value=before>
<KeyValuePair: key=down, value=down>
<KeyValuePair: key=downl, value=downloading>
<KeyValuePair: key=downloading, value=downloading>
<KeyValuePair: key=r, value=right>
<KeyValuePair: key=redistrib, value=redistributing>
<KeyValuePair: key=redistributin, value=redistributing>
<KeyValuePair: key=this, value=this>
<KeyValuePair: key=othe, value=other>
<KeyValuePair: key=sho, value=should>
<KeyValuePair: key=thing, value=thing>
<KeyValuePair: key=se, value=see>
<KeyValuePair: key=when, value=when>
<KeyValuePair: key=v, value=very>
<KeyValuePair: key=vie, value=view>
<KeyValuePair: key=viewin, value=viewing>
<KeyValuePair: key=please, value=please>
<KeyValuePair: key=n, value=not>
<KeyValuePair: key=rem, value=remember>
<KeyValuePair: key=edi, value=editions>
<KeyValuePair: key=edit, value=editions>
<KeyValuePair: key=wi, value=with>
<KeyValuePair: key=wit, value=with>
<KeyValuePair: key=with, value=with>
<KeyValuePair: key=wri, value=written>
<KeyValuePair: key=writ, value=written>
<KeyValuePair: key=writt, value=written>
<KeyValuePair: key=permis, value=permission>
<KeyValuePair: key=rea, value=read>
<KeyValuePair: key=read, value=read>
<KeyValuePair: key=leg, value=legal>
<KeyValuePair: key=sm, value=small>
<KeyValuePair: key=info, value=information>
<KeyValuePair: key=informatio, value=information>
<KeyValuePair: key=abo, value=about>
<KeyValuePair: key=botto, value=bottom>
<KeyValuePair: key=inc, value=including>
<KeyValuePair: key=incl, value=including>
<KeyValuePair: key=is, value=is>
<KeyValuePair: key=importan, value=important>
<KeyValuePair: key=important, value=important>
<KeyValuePair: key=speci, value=special>
<KeyValuePair: key=specific, value=specific>
<KeyValuePair: key=restr, value=restrictions>
<KeyValuePair: key=restrictio, value=restrictions>
<KeyValuePair: key=us, value=us>
<KeyValuePair: key=ca, value=can>
<KeyValuePair: key=ou, value=our>
<KeyValuePair: key=out, value=out>
<KeyValuePair: key=make, value=make>
<KeyValuePair: key=dona, value=donations>
<KeyValuePair: key=donat, value=donations>
<KeyValuePair: key=donation, value=donations>
<KeyValuePair: key=ge, value=get>
<KeyValuePair: key=get, value=get>
<KeyValuePair: key=invo, value=involved>
<KeyValuePair: key=invol, value=involved>
<KeyValuePair: key=we, value=we>
<KeyValuePair: key=wel, value=well>
<KeyValuePair: key=welco, value=welcome>
<KeyValuePair: key=welcome, value=welcome>
<KeyValuePair: key=plain, value=plain>
<KeyValuePair: key=vani, value=vanilla>
<KeyValuePair: key=vanil, value=vanilla>
<KeyValuePair: key=vanill, value=vanilla>
<KeyValuePair: key=ele, value=electronic>
<KeyValuePair: key=electron, value=electronic>
<KeyValuePair: key=texts, value=texts>
<KeyValuePair: key=humans, value=humans>
