<KeyValuePair: key=project, value=project>
<KeyValuePair: key=g, value=gutenberg>
<KeyValuePair: key=gute, value=gutenberg>
<KeyValuePair: key=guten, value=gutenberg>
<KeyValuePair: key=o, value=of>
<KeyValuePair: key=of, value=of>
<KeyValuePair: key=decla, value=declared>
<KeyValuePair: key=declarati, value=declaration>
<KeyValuePair: key=ind, value=indeed>
<KeyValuePair: key=indepen, value=independent>
<KeyValuePair: key=independenc, value=independence>
<KeyValuePair: key=c, value=could>
<KeyValuePair: key=copyrig, value=copyright>
<KeyValuePair: key=copyrigh, value=copyright>
<KeyValuePair: key=copyright, value=copyright>
<KeyValuePair: key=al, value=all>
<KeyValuePair: key=ov, value=over>
<KeyValuePair: key=w, value=was>
<KeyValuePair: key=be, value=be>
<KeyValuePair: key=s, value=s>
<KeyValuePair: key=to, value=to>
<KeyValuePair: key=chec, value=check>
<KeyValuePair: key=you, value=you>
<KeyValuePair: key=your, value=your>
<KeyValuePair: key=count, value=country>
<KeyValuePair: key=bef, value=before>
<KeyValuePair: key=do, value=do>
<KeyValuePair: key=downlo, value=downloading>
<KeyValuePair: key=or, value=or>
<KeyValuePair: key=re, value=return>
<KeyValuePair: key=redis, value=redistributing>
<KeyValuePair: key=redist, value=redistributing>
<KeyValuePair: key=redistribu, value=redistributing>
<KeyValuePair: key=redistribut, value=redistributing>
<KeyValuePair: key=oth, value=other>
<KeyValuePair: key=header, value=header>
<KeyValuePair: key=shou, value=should>
<KeyValuePair: key=fi, value=first>
<KeyValuePair: key=fir, value=first>
<KeyValuePair: key=see, value=see>
<KeyValuePair: key=seen, value=seen>
<KeyValuePair: key=vi, value=village>
<KeyValuePair: key=pleas, value=please>
<KeyValuePair: key=not, value=not>
<KeyValuePair: key=it, value=it>
<KeyValuePair: key=ed, value=edu>
<KeyValuePair: key=wr, value=written>
<KeyValuePair: key=written, value=written>
<KeyValuePair: key=permiss, value=permission>
<KeyValuePair: key=permissio, value=permission>
<KeyValuePair: key=lega, value=legal>
<KeyValuePair: key=sma, value=small>
<KeyValuePair: key=small, value=small>
<KeyValuePair: key=pri, value=print>
<KeyValuePair: key=prin, value=print>
<KeyValuePair: key=and, value=and>
<KeyValuePair: key=inform, value=information>
<KeyValuePair: key=abou, value=about>
<KeyValuePair: key=at, value=at>
<KeyValuePair: key=bot, value=both>
<KeyValuePair: key=inclu, value=including>
<KeyValuePair: key=includ, value=including>
<KeyValuePair: key=impo, value=important>
<KeyValuePair: key=impor, value=important>
<KeyValuePair: key=import, value=important>
<KeyValuePair: key=spec, value=special>
<KeyValuePair: key=specifi, value=specified>
<KeyValuePair: key=ri, value=right>
<KeyValuePair: key=restricti, value=restrictions>
<KeyValuePair: key=ho, value=how>
<KeyValuePair: key=use, value=use>
<KeyValuePair: key=also, value=also>
<KeyValuePair: key=fin, value=find>
<KeyValuePair: key=mak, value=make>
<KeyValuePair: key=don, value=donations>
<KeyValuePair: key=involved, value=involved>
<KeyValuePair: key=va, value=various>
<KeyValuePair: key=van, value=vanilla>
<KeyValuePair: key=vanilla, value=vanilla>
<KeyValuePair: key=el, value=electronic>
<KeyValuePair: key=elect, value=electronic>
<KeyValuePair: key=tex, value=text>
<KeyValuePair: key=ebooks, value=ebooks>
<KeyValuePair: key=reada, value=readable>
<KeyValuePair: key=by, value=by>
<KeyValuePair: key=comp, value=computer>
<KeyValuePair: key=compute, value=computer>
<KeyValuePair: key=sinc, value=since>
<KeyValuePair: key=197, value=1971>
<KeyValuePair: key=these, value=these>
<KeyValuePair: key=pre, value=present>
<KeyValuePair: key=prepared, value=prepared>
<KeyValuePair: key=tho, value=thou>
<KeyValuePair: key=vol, value=volunteers>
<KeyValuePair: key=volunteers, value=volunteers>
<KeyValuePair: key=tit, value=title>
<KeyValuePair: key=release, value=release>
<KeyValuePair: key=dat, value=date>
<KeyValuePair: key=dece, value=december>
<KeyValuePair: key=most, value=most>
<KeyValuePair: key=up, value=upon>
<KeyValuePair: key=update, value=updated>
<KeyValuePair: key=novemb, value=november>
<KeyValuePair: key=25, value=25>
<KeyValuePair: key=editi, value=editions>
<KeyValuePair: key=langu, value=language>
<KeyValuePair: key=languag, value=language>
<KeyValuePair: key=engli, value=english>
<KeyValuePair: key=et, value=etext>
<KeyValuePair: key=released, value=released>
<KeyValuePair: key=early, value=early>
<KeyValuePair: key=emaile, value=emailed>
